C:\EC-Lab Development Package\Examples\Python\channel 1 data for poster_trial_3_02_CA_C01.mpr
time/s	<I>/mA
2.103126096582128E+002	-3.341699492931367E-001
2.103226096579601E+002	-3.341529047489167E-001
2.103326096577075E+002	-3.340918445587158E-001
2.103426096574549E+002	-3.340967959165573E-001
2.103526096572023E+002	-3.340550732612608E-001
2.103626096569496E+002	-3.340235370397567E-001
2.103726096566970E+002	-3.340259361267091E-001
2.103826096564444E+002	-3.339597898721695E-001
2.103926096561918E+002	-3.339554607868198E-001
2.104026096559392E+002	-3.339132261276241E-001
2.104126096556865E+002	-3.338738977909088E-001
2.104226096554339E+002	-3.338907134532927E-001
2.104326096551813E+002	-3.338165146112448E-001
2.104426096549287E+002	-3.338286113739031E-001
2.104526096546761E+002	-3.337816530466085E-001
2.104626096544234E+002	-3.337509918212891E-001
2.104726096541708E+002	-3.337557166814804E-001
2.104826096539182E+002	-3.336731439828875E-001
2.104926096536656E+002	-3.336985617876058E-001
2.105026096534129E+002	-3.336401903629302E-001
2.105126096531603E+002	-3.336232715845124E-001
2.105226096529077E+002	-3.336116969585419E-001
2.105326096526551E+002	-3.335473072528838E-001
2.105426096524025E+002	-3.335602724552160E-001
2.105526096521498E+002	-3.335143458843248E-001
2.105626096518972E+002	-3.334780931472778E-001
2.105726096516446E+002	-3.334906774759299E-001
2.105826096513920E+002	-3.334249228239061E-001
2.105926096511394E+002	-3.334377634525301E-001
2.106026096508867E+002	-3.333824270963669E-001
2.106126096506341E+002	-3.333528947830200E-001
2.106226096503815E+002	-3.333391529321671E-001
2.106326096501289E+002	-3.332849508523941E-001
2.106426096498762E+002	-3.333004730939865E-001
2.106526096496236E+002	-3.332557094097137E-001
2.106626096493710E+002	-3.332171595096600E-001
2.106726096491184E+002	-3.332044172286988E-001
2.106826096488658E+002	-3.331618183851246E-001
2.106926096486131E+002	-3.331637310981752E-001
2.107026096483605E+002	-3.331157362461088E-001
2.107126096481079E+002	-3.330983102321632E-001
2.107226096478553E+002	-3.330759263038647E-001
2.107326096476027E+002	-3.330275702476502E-001
2.107426096473500E+002	-3.330293500423434E-001
2.107526096470974E+002	-3.329961669445036E-001
2.107626096468448E+002	-3.329605293273925E-001
2.107726096465922E+002	-3.329557061195381E-001
2.107826096463396E+002	-3.329100084304808E-001
2.107926096460869E+002	-3.329168969392775E-001
2.108026096458343E+002	-3.328588753938684E-001
2.108126096455817E+002	-3.328329086303712E-001
2.108226096453291E+002	-3.328230124711991E-001
2.108326096450764E+002	-3.327786076068877E-001
2.108426096448238E+002	-3.327726233005528E-001
2.108526096445712E+002	-3.327232384681702E-001
2.108626096443186E+002	-3.326972919702538E-001
2.108726096440660E+002	-3.327019882202147E-001
2.108826096438133E+002	-3.326353293657309E-001
2.108926096435607E+002	-3.326460301876075E-001
2.109026096433081E+002	-3.326109099388121E-001
2.109126096430555E+002	-3.325899183750156E-001
2.109226096428029E+002	-3.325731289386766E-001
2.109326096425502E+002	-3.325106489658356E-001
2.109426096422976E+002	-3.325172519683850E-001
2.109526096420450E+002	-3.324731028079986E-001
2.109626096417924E+002	-3.324516284465791E-001
2.109726096415397E+002	-3.324395281076438E-001
2.109826096412871E+002	-3.323874938488007E-001
2.109926096410345E+002	-3.324005937576293E-001
2.110026096407819E+002	-3.323443514108658E-001
2.110126096405293E+002	-3.323229974508291E-001
2.110226096402766E+002	-3.323250430822372E-001
2.110326096400240E+002	-3.322610419988639E-001
2.110426096397714E+002	-3.322727459669119E-001
2.110526096395188E+002	-3.322287303209306E-001
2.110626096392662E+002	-3.322028887271880E-001
2.110726096390135E+002	-3.321859675645840E-001
2.110826096387609E+002	-3.321390068531045E-001
2.110926096385083E+002	-3.321387571096421E-001
2.111026096382557E+002	-3.320928257703781E-001
2.111126096380031E+002	-3.320636892318722E-001
2.111226096377504E+002	-3.320564466714862E-001
2.111326096374978E+002	-3.320116543769833E-001
2.111426096372452E+002	-3.320151108503344E-001
2.111526096369926E+002	-3.319696676731114E-001
2.111626096367399E+002	-3.319490689039233E-001
2.111726096364873E+002	-3.319522339105614E-001
2.111826096362347E+002	-3.318910413980500E-001
2.111926096359821E+002	-3.319041413068772E-001
2.112026096357295E+002	-3.318495869636537E-001
2.112126096354768E+002	-3.318278181552887E-001
2.112226096352242E+002	-3.318295949697498E-001
2.112326096349716E+002	-3.317730987071992E-001
2.112426096347190E+002	-3.317566949129116E-001
2.112526096344664E+002	-3.317410451173783E-001
2.112626096342137E+002	-3.316923075914383E-001
2.112726096339611E+002	-3.317103856801999E-001
2.112826096337085E+002	-3.316400367021560E-001
2.112926096334559E+002	-3.316453760862350E-001
2.113026096332032E+002	-3.316167527437215E-001
2.113126096329506E+002	-3.315635502338417E-001
2.113226096326980E+002	-3.315659797191619E-001
2.113326096324454E+002	-3.315069568157192E-001
2.113426096321928E+002	-3.315365785360340E-001
2.113526096319401E+002	-3.314862215518952E-001
2.113626096316875E+002	-3.314418166875841E-001
2.113726096314349E+002	-3.314572167396541E-001
2.113826096311823E+002	-3.313878673315056E-001
2.113926096309297E+002	-3.314051735401158E-001
2.114026096306770E+002	-3.313738644123081E-001
2.114126096304244E+002	-3.313334077596668E-001
2.114226096301718E+002	-3.313354420661936E-001
2.114326096299192E+002	-3.312711817026139E-001
2.114426096296665E+002	-3.312826567888276E-001
2.114526096294139E+002	-3.312456333637237E-001
2.114626096291613E+002	-3.312030029296880E-001
2.114726096289087E+002	-3.312075614929206E-001
2.114826096286561E+002	-3.311465042829518E-001
2.114926096284034E+002	-3.311465030908587E-001
2.115026096281508E+002	-3.311151999235156E-001
2.115126096278982E+002	-3.310839217901230E-001
2.115226096276456E+002	-3.310996782779689E-001
2.115326096273930E+002	-3.310243833065032E-001
2.115426096271403E+002	-3.310458815097812E-001
2.115526096268877E+002	-3.309877365827569E-001
2.115626096266351E+002	-3.309527438879014E-001
2.115726096263825E+002	-3.309610235691069E-001
2.115826096261299E+002	-3.308895081281671E-001
2.115926096258772E+002	-3.309187775850306E-001
2.116026096256246E+002	-3.308746099472053E-001
2.116126096253720E+002	-3.308383506536484E-001
2.116226096251194E+002	-3.308444631099701E-001
2.116326096248667E+002	-3.307878589630135E-001
2.116426096246141E+002	-3.308008295297623E-001
2.116526096243615E+002	-3.307515776157377E-001
2.116626096241089E+002	-3.307237273454668E-001
2.116726096238563E+002	-3.307376062870038E-001
2.116826096236036E+002	-3.306668394804001E-001
2.116926096233510E+002	-3.306842744350433E-001
2.117026096230984E+002	-3.306369626522061E-001
2.117126096228458E+002	-3.306019699573515E-001
2.117226096225932E+002	-3.306088548898698E-001
2.117326096223405E+002	-3.305550390481962E-001
2.117426096220879E+002	-3.305411612987519E-001
2.117526096218353E+002	-3.305269056558622E-001
2.117626096215827E+002	-3.304761475324636E-001
2.117726096213300E+002	-3.304924249649055E-001
2.117826096210774E+002	-3.304209166765215E-001
2.117926096208248E+002	-3.304414165019989E-001
2.118026096205722E+002	-3.304015743732451E-001
2.118126096203196E+002	-3.303775376081477E-001
2.118226096200669E+002	-3.303786706924443E-001
2.118326096198143E+002	-3.303155732154863E-001
2.118426096195617E+002	-3.303145748376847E-001
2.118526096193091E+002	-3.302800935506821E-001
2.118626096190565E+002	-3.302407735586179E-001
